,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.35589,0.0,131.78958333333333,108.07877333333333,86.680048,57.446632253521095,42.602670634920635,14.516399230769288,-8.380432500000234,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.81445,274.92601,227.51337999999998,210.82093000000006,0.0,165.0695266666667,136.16347499999998,108.51922166666664,86.611,56.998285241935534,41.864753701298675,15.646046521739885,-2.5686699999997744,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.77376,236.46186999999998,0.0,194.771995,163.32728333333344,131.65384000000006,114.18649400000004,81.2975961538461,57.37567383561645,41.2280512322275,15.832418823529325,-7.34711500000083,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.42014000000003,209.05599499999994,183.3602075,159.20190428571436,135.78135666666665,112.20793800000008,84.53936444444449,60.62786116279071,36.38623151351355,16.279037407407518,-11.70488666666665,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.45682,308.47174,278.29602000000006,252.0611400000001,0.0,210.80899999999988,185.66709399999996,157.336906,135.92052263157893,107.806516,88.45694437500005,60.53836755102052,38.165432085889464,16.512920000000015,-6.434693333333108,-27.46169499999948,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.25881333333334,201.4253800000002,182.528765,157.39902500000005,135.6813433333332,107.90124666666668,87.30428909090905,58.806670375000046,40.12284034313727,14.977193076923218,-8.1045500000015,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,391.23685500000005,354.61812,0.0,0.0,0.0,265.66066333333333,233.40751,210.61184333333338,184.99194666666656,162.9530141666667,140.30459999999974,116.5948581818183,83.30686294117649,58.450850909090825,40.55876396449699,14.00908761904735,-9.693331428571966,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,361.4737433333334,0.0,322.7579200000003,0.0,0.0,238.8786650000001,0.0,192.61246499999976,160.61621333333315,139.017898,111.3882685714284,80.5481251612903,60.80237761589409,41.37152552631579,16.72101187500005,-2.22953000000315,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.60302,0.0,182.326125,160.13047000000014,134.392452,112.94763111111115,84.59619066666662,58.21899258064523,42.170304887218016,14.286584000000378,-9.519494999996784,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.47123999999997,0.0,232.43058000000002,204.28105999999997,176.2442200000001,167.01222999999987,137.54325124999997,111.5946088888889,82.35704736842098,60.88040647058827,40.70241487500006,16.52983900000025,-3.394140000001074,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.16078999999996,0.0,272.42385000000013,0.0,212.10510199999993,187.51404500000012,160.30176666666648,141.29494999999935,109.02093777777786,83.48265199999997,64.64679446236559,40.74831760416662,16.176910526315915,-3.7476633333333433,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.65209500000003,0.0,232.859475,0.0,189.61564999999976,160.78620500000002,135.28344,109.29145000000007,81.44795142857137,59.46295370786517,39.911315714285756,16.2691931250001,-9.069767499999648,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.699705,195.75070999999994,163.76856333333336,138.10669999999993,108.32980750000006,86.93246749999999,57.649066049382704,38.63072070312495,16.563876923076844,-1.7114549999992656,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.28104999999994,0.0,217.6302000000001,181.04406999999998,0.0,133.2852866666667,107.45763000000004,83.01305400000004,58.139198282208596,41.75603421768702,16.65130799999862,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,354.48744,341.392555,303.3817800000001,283.3666400000001,0.0,240.33837999999986,213.14081999999996,178.07946999999996,161.35871333333336,143.42361333333318,103.66605000000068,81.70706699999994,61.53938592039792,41.95236235294103,20.37318571428561,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,399.76199999999994,365.24180000000007,342.07815000000005,0.0,0.0,0.0,241.1390449999998,206.78073499999996,190.46251,161.6248500000002,145.09769000000009,113.62844000000027,85.04711499999995,56.46465921875,40.18459386503064,16.19446578947344,-7.096569999998622,0.0,0.0
