month,day,slope,intercept,R2
1,1,431.6757278558756,328.99299472276743,0.22444244079243517
1,2,412.5609955088865,328.7787344883878,0.2070645006003335
1,3,387.18404379420707,329.94111112851925,0.18513652804322944
1,4,382.3181689786724,327.5943283706653,0.1859062989766746
1,5,369.6645976252226,326.2774438821449,0.18360131755338166
1,6,361.13319551645844,324.4753130525766,0.18768623499894227
1,7,357.894577430871,322.1015654987723,0.19206186119034308
1,8,358.5150747946209,319.04989700500397,0.19777413035800737
1,9,359.0938676398272,316.20598443503417,0.20012344344249702
1,10,358.59418837310534,313.08777527177983,0.20555941134807143
1,11,359.49477449377866,309.18588036495294,0.21857220700852242
1,12,359.8601160860194,306.0411788515429,0.23173646792541486
1,13,354.3046723738746,304.1634750933557,0.23964453145814046
1,14,348.1362427448889,301.7935092965124,0.24827496239727007
1,15,337.7241558368777,300.62891046103715,0.2570805658225881
1,16,327.77079273309005,299.7902604749876,0.2576435205255132
1,17,326.8292807900853,297.3147120431423,0.26406292073471244
1,18,330.7519051139736,293.5073579311156,0.2753966929066945
1,19,340.4630687423485,287.83693641808975,0.29845376216532593
1,20,344.7092908508093,283.7225776941141,0.31547532902049796
1,21,348.1872098321102,278.7685261890707,0.3345936761082535
1,22,348.1267777877271,274.9514224966932,0.3498101877176561
1,23,349.6110127986625,271.19582640212514,0.36381791031495114
1,24,354.50628664968906,265.7800828727758,0.383100859093666
1,25,352.86143417436404,262.8571816534958,0.39235099204987406
1,26,351.68136319515514,259.55171736692193,0.4011273386326894
1,27,352.2886316167262,255.6823921812305,0.40688915047481317
1,28,353.4844855905734,252.65712698251073,0.40685493374103054
1,29,357.3754553846771,248.90742020426734,0.41354473223782484
1,30,360.9904815072261,244.93037604084776,0.4206241187131764
1,31,362.0124090815095,242.62325799006885,0.42374907508625453
2,1,367.567832732737,238.2757108612604,0.43886878309405125
2,2,374.58488112428057,232.66543062417352,0.46113960045634866
2,3,376.3604587644726,229.75626149484782,0.4685468421693888
2,4,377.20768527370126,227.75149872872964,0.4733667778036773
2,5,376.240536117984,226.378189812806,0.4787390987813558
2,6,374.7335809458083,224.7447180500647,0.48255462158720996
2,7,379.43679687901977,220.52245790143894,0.4955944156041426
2,8,381.4333824031309,216.75085715456055,0.5023774445481446
2,9,382.14332344423104,213.33045307598186,0.5066780747353412
2,10,382.58558919355653,210.08704321554455,0.5053287967989596
2,11,381.47412131408424,208.00376246818146,0.5030305904023616
2,12,385.2117760196325,204.04784685307843,0.5126798046674853
2,13,392.67452265680606,197.49407194265885,0.5318303356811336
2,14,396.33840242772766,192.87740266532504,0.5442198561683297
2,15,395.56024520925797,189.22127171795248,0.5482092594335656
2,16,396.05382842288975,184.77260981960006,0.5603519302461182
2,17,394.20029192041005,181.6747563041757,0.5666394936155167
2,18,391.27557256837963,179.53719707240003,0.5691268975232284
2,19,383.3758215155613,178.59245217482373,0.5713610993292191
2,20,375.2593210181101,178.69135556773284,0.5694737346832253
2,21,370.7076678130955,177.46262735666608,0.5701255452401947
2,22,369.094295505823,175.59585422922055,0.5708846176361867
2,23,360.8653291148562,176.35704251806808,0.5635363075707341
2,24,354.3832180399089,176.6901046464124,0.5536379347612885
2,25,351.3388096358257,175.44495629358073,0.5510331119568491
2,26,348.9591746450403,173.95013215098263,0.5525442067142073
2,27,348.0060087978954,172.62930952574058,0.5529808594815421
2,28,346.6007047650973,171.23748153307696,0.5572375114603467
3,1,349.67418149431916,165.8857925689523,0.5616399242221654
3,2,354.9416694508104,160.40485591726832,0.5793571393722887
3,3,360.95081229972686,154.9829974984228,0.6009739711442642
3,4,360.490298142859,152.96787113477575,0.6085914920588619
3,5,358.67511887314623,151.05114287855045,0.6166022737132972
3,6,355.752621003714,150.11212298879508,0.6175509510563527
3,7,356.2493118436079,148.17992947545775,0.6229430494926207
3,8,355.15595290407697,146.6373866242808,0.6289076388511214
3,9,353.4855137634001,145.73919197163656,0.6286462757359722
3,10,353.0268858054132,143.49322925934393,0.6389635963750774
3,11,353.0993599628997,140.69764483400576,0.6573966794558131
3,12,353.95870169339065,137.4885968451454,0.6757028800086482
3,13,353.2905399681664,135.10295735918538,0.6888109536776057
3,14,352.09083626875645,133.234062391219,0.7011132476788838
3,15,350.3540563739399,131.7713125702871,0.711134290605122
3,16,351.5992837200413,129.10826747088788,0.7194143471563709
3,17,351.5769477364679,127.3396300633398,0.7270593224571041
3,18,347.9654625656654,127.54480799160501,0.7298481446860015
3,19,346.07246386067555,127.05544801477637,0.7334504079866372
3,20,345.02787939271855,126.24126428659346,0.7413261300397802
3,21,343.43863057290616,125.3081619719375,0.7540380453718323
3,22,341.62460308140686,124.61433809042765,0.765119716976849
3,23,342.7663152884193,122.61446164497872,0.7772836381741371
3,24,343.12532843460684,120.80409308084134,0.7846839925116338
3,25,343.5873286560525,118.96060233027134,0.7903026246281011
3,26,344.6644726744257,116.6873590086989,0.7966603895928107
3,27,346.72098936831947,113.87441294794783,0.8045122412986059
3,28,351.7174011716058,109.6829263768897,0.8223678141538122
3,29,354.8610454187795,106.70937705806679,0.8385339683766521
3,30,356.85711630934213,104.32601698419393,0.8506940536037028
3,31,358.4338710510466,102.22529409624607,0.8614746396518351
4,1,357.85526177530915,100.55131502363014,0.8681855295028248
4,2,356.18682461528107,99.43009052282187,0.8753943506676912
4,3,353.97383398638215,99.20496195315388,0.8791749910211711
4,4,353.9374169791513,98.27705109025425,0.8846234070216019
4,5,350.59240141231874,98.5108015436727,0.8857482618262246
4,6,349.8463884880143,97.60018384045506,0.8912169277365748
4,7,350.42746235567716,96.26482026043522,0.8979700954990396
4,8,351.4732624713938,94.72404658151214,0.9050143138606629
4,9,352.51789964352724,93.22504838724348,0.9117874137152399
4,10,353.137769330783,91.91860775336042,0.9155358454633334
4,11,353.709202903793,90.70405165232245,0.916443275807758
4,12,353.7475105728623,89.45254049033196,0.9172161814126305
4,13,355.1801021328643,87.7304298511651,0.9218034138334538
4,14,355.2618143480067,86.69952424662651,0.9249560178357387
4,15,355.8106509677869,85.57831800070593,0.9285261630526612
4,16,356.372242926243,83.98888319725185,0.9341001242945495
4,17,358.3338706331254,81.93321480774381,0.9413044248581918
4,18,359.49864590346374,79.9870541989844,0.9469193233327172
4,19,361.7028453227408,77.79750263035407,0.9495747678219469
4,20,363.5920077775115,75.96873454442829,0.9511354087980478
4,21,366.3725126261495,73.91465369207395,0.9514468380892037
4,22,369.8437918297177,71.97274472427593,0.9508785495564914
4,23,371.3077876378161,70.6770013239574,0.9503521004627247
4,24,367.4691254743596,70.39217459017931,0.9486935077959368
4,25,366.6271167560144,69.59512916551105,0.9464054413269937
4,26,366.0808506441192,68.92219184290103,0.9433708634380051
4,27,364.7097630910561,68.73183022660248,0.9407673998673206
4,28,363.3175076426807,68.18841887656687,0.9432288958081455
4,29,362.9434071414321,67.76354998592193,0.9450326238349801
4,30,362.4620367739789,67.53960634024271,0.9461560417325336
5,1,362.6686300905341,67.21913134400772,0.9467357334637366
5,2,362.6523618457274,66.67523916494297,0.9480901565192046
5,3,363.9481676280687,65.82868705244809,0.9477986893531707
5,4,363.56741645293766,65.21274817231415,0.9454950762789232
