,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.017857142857142856,0.017857142857142856,0.05952380952380953,0.42261904761904767,0.375,0.07738095238095233,0.023809523809523836,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.002976190476190476,0.002976190476190476,0.002976190476190476,0.0,0.008928571428571428,0.01785714285714286,0.017857142857142856,0.041666666666666664,0.36904761904761907,0.45833333333333337,0.06845238095238093,0.005952380952380931,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.002976190476190476,0.0,0.005952380952380952,0.008928571428571428,0.011904761904761908,0.014880952380952377,0.03869047619047619,0.21726190476190474,0.6279761904761905,0.050595238095238027,0.017857142857142905,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.005952380952380952,0.011904761904761904,0.020833333333333332,0.026785714285714295,0.029761904761904753,0.026785714285714288,0.12797619047619047,0.5505952380952381,0.1607142857142857,0.0357142857142857,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.002976190476190476,0.002976190476190476,0.002976190476190476,0.0,0.002976190476190476,0.01488095238095238,0.014880952380952384,0.05654761904761905,0.029761904761904767,0.047619047619047616,0.14583333333333334,0.4851190476190476,0.16666666666666663,0.017857142857142905,0.005952380952380931,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.002976190476190476,0.011904761904761904,0.011904761904761904,0.017857142857142856,0.026785714285714295,0.03273809523809523,0.23809523809523808,0.6071428571428572,0.038690476190476164,0.0029761904761904656,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.002976190476190476,0.0,0.0,0.0,0.008928571428571428,0.002976190476190476,0.008928571428571428,0.008928571428571432,0.03571428571428571,0.026785714285714288,0.03273809523809523,0.05059523809523811,0.22916666666666663,0.5029761904761905,0.0625,0.02083333333333337,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.002976190476190476,0.0,0.0,0.005952380952380952,0.0,0.005952380952380952,0.008928571428571432,0.014880952380952377,0.020833333333333343,0.09226190476190477,0.449404761904762,0.3392857142857142,0.04761904761904767,0.0029761904761904656,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.011904761904761904,0.005952380952380952,0.01488095238095238,0.026785714285714288,0.04464285714285714,0.4613095238095238,0.39583333333333337,0.029761904761904767,0.005952380952380931,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.002976190476190476,0.002976190476190476,0.002976190476190476,0.005952380952380952,0.02380952380952381,0.02678571428571428,0.05654761904761904,0.3035714285714286,0.47619047619047616,0.0892857142857143,0.0029761904761904656,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.002976190476190476,0.0,0.01488095238095238,0.005952380952380952,0.008928571428571428,0.0029761904761904795,0.026785714285714288,0.029761904761904753,0.5535714285714286,0.2857142857142857,0.05654761904761907,0.008928571428571397,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.005952380952380952,0.0,0.002976190476190476,0.005952380952380952,0.002976190476190476,0.011904761904761904,0.020833333333333336,0.5297619047619048,0.35416666666666663,0.04761904761904767,0.011904761904761862,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.002976190476190476,0.008928571428571428,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.48214285714285715,0.38095238095238093,0.07738095238095244,0.005952380952380931,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.002976190476190476,0.008928571428571428,0.0,0.008928571428571428,0.0059523809523809555,0.02976190476190476,0.48511904761904767,0.4375,0.014880952380952328,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.005952380952380952,0.002976190476190476,0.002976190476190476,0.0,0.002976190476190476,0.005952380952380952,0.002976190476190476,0.008928571428571428,0.008928571428571432,0.0029761904761904726,0.029761904761904767,0.5982142857142858,0.3035714285714285,0.02083333333333337,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0021929824561403508,0.0043859649122807015,0.0021929824561403508,0.0,0.0,0.0,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.0021929824561403508,0.0021929824561403508,0.0021929824561403508,0.008771929824561403,0.5614035087719299,0.35745614035087714,0.04166666666666674,0.002192982456140302,0.0,0.0
